State,Candidate,Party,Votes,Vote share,Electoral votes,Expected votes counted (%)
Alaska,Donald Trump wins,Republican (incumbent),"141,850",55.50%,3,72%
Alaska,Kamala Harris,Democrat,"103,146",40.40%,0,72%
Alaska,Robert F. Kennedy Jr,Independent,"4,345",1.70%,0,72%
Alaska,Chase Oliver,Libertarian,"2,268",0.90%,0,72%
Alaska,Jill Stein,Green,"1,676",0.70%,0,72%
Alaska,Cornel West,Unity,912,0.40%,0,72%
Alaska,Randall Terry,Constitution,680,0.30%,0,72%
Alaska,Peter Sonski,American Solidarity,506,0.20%,0,72%
Alabama,Donald Trump wins,Republican (incumbent),"1,457,704",64.80%,9,99%
Alabama,Kamala Harris,Democrat,"769,391",34.20%,0,99%
Alabama,Robert F. Kennedy Jr,Independent,"12,026",0.50%,0,99%
Alabama,Chase Oliver,Libertarian,"4,914",0.20%,0,99%
Alabama,Jill Stein,Green,"4,297",0.20%,0,99%
Alabama,Write-ins,Write - In,"1,770",0.10%,0,99%
Arkansas,Donald Trump wins,Republican (incumbent),"758,007",64.20%,6,97.50%
Arkansas,Kamala Harris,Democrat,"395,756",33.50%,0,97.50%
Arkansas,Robert F. Kennedy Jr,Independent,"13,220",1.10%,0,97.50%
Arkansas,Chase Oliver,Libertarian,"5,708",0.50%,0,97.50%
Arkansas,Jill Stein,Green,"4,263",0.40%,0,97.50%
Arkansas,Peter Sonski,American Solidarity,"2,130",0.20%,0,97.50%
Arkansas,Michael Wood,Prohibition,"1,142",0.10%,0,97.50%
Arizona,Donald Trump wins,Republican,"1,649,767",52.40%,11,91.80%
Arizona,Kamala Harris,Democrat (incumbent),"1,469,152",46.60%,0,91.80%
Arizona,Jill Stein,Green,"16,290",0.50%,0,91.80%
Arizona,Chase Oliver,Libertarian,"16,133",0.50%,0,91.80%
Arizona,Write-ins,Write - In,0,0.00%,0,91.80%
California,Kamala Harris wins,Democrat (incumbent),"7,267,019",58.50%,54,77%
California,Donald Trump,Republican,"4,792,460",38.60%,0,77%
California,Robert F. Kennedy Jr,Independent,"143,435",1.20%,0,77%
California,Jill Stein,Green,"115,416",0.90%,0,77%
California,Claudia De la Cruz,Peace and Freedom,"49,422",0.40%,0,77%
California,Chase Oliver,Libertarian,"49,041",0.40%,0,77%
California,Write-ins,Write - In,16,0.00%,0,77%
Colorado,Kamala Harris wins,Democrat (incumbent),"1,686,157",54.20%,10,95.20%
Colorado,Donald Trump,Republican,"1,341,833",43.10%,0,95.20%
Colorado,Robert F. Kennedy Jr,Independent,"34,476",1.10%,0,95.20%
Colorado,Chase Oliver,Libertarian,"20,795",0.70%,0,95.20%
Colorado,Jill Stein,Green,"16,380",0.50%,0,95.20%
Colorado,Cornel West,Unity,"4,931",0.20%,0,95.20%
Colorado,Randall Terry,Constitution,"3,446",0.10%,0,95.20%
Colorado,Blake Huber,Approval Voting,"2,124",0.10%,0,95.20%
Colorado,Write-ins,Write - In,3,0.00%,0,95.20%
Connecticut,Kamala Harris wins,Democrat (incumbent),"989,195",56.50%,7,98.60%
Connecticut,Donald Trump,Republican,"731,832",41.80%,0,98.60%
