State,Candidate,Party,Votes,Vote share,Expected votes counted (%)
Arizona,Ruben Gallego,Democratic,"1,556,441",50.00%,90.80%
Arizona,Kari Lake,Republican,"1,490,136",47.80%,90.80%
Arizona,Eduardo Quintana,Green,"68,000",2.20%,90.80%
Arizona,Write-ins,Write - In,0,0.00%,90.80%
California,Adam Schiff wins,Democratic,"7,072,269",58.60%,75%
California,Steve Garvey,Republican,"4,993,021",41.40%,75%
Connecticut,Chris Murphy wins,Democratic,"998,773",58.50%,96.10%
Connecticut,Matthew Corey,Republican,"676,775",39.70%,96.10%
Connecticut,Justin Paglino,Green,"15,712",0.90%,96.10%
Connecticut,Robert Hyde,Independent,"14,731",0.90%,96.10%
Delaware,Lisa Blunt Rochester wins,Democratic,"283,244",56.60%,98.10%
Delaware,Eric Hansen,Republican,"197,710",39.50%,98.10%
Delaware,Michael Katz,Independent Party of DE,"19,551",3.90%,98.10%
Florida,Rick Scott wins,Republican,"5,976,353",55.60%,97.80%
Florida,Debbie Mucarsel-Powell,Democratic,"4,600,822",42.80%,97.80%
Florida,Ben Everidge,No Party Affiliation,"62,640",0.60%,97.80%
Florida,Feena Bonoan,Libertarian,"57,345",0.50%,97.80%
Florida,Tuan Nguyen,No Party Affiliation,"56,544",0.50%,97.80%
Florida,Write-ins,Write - In,"1,120",0.00%,97.80%
Hawaii,Mazie Hirono wins,Democratic,"323,489",64.60%,87.10%
Hawaii,Bob McDermott,Republican,"159,709",31.90%,87.10%
Hawaii,Shelby Billionaire,We the People,"9,191",1.80%,87.10%
Hawaii,Emma Pohlman,Green,"8,241",1.60%,87.10%
Indiana,Jim Banks wins,Republican,"1,652,380",58.50%,93.70%
Indiana,Valerie McCray,Democratic,"1,089,285",38.60%,93.70%
Indiana,Andrew Horning,Libertarian,"82,889",2.90%,93.70%
Indiana,Write-ins,Write - In,252,0.00%,93.70%
Maine,Angus King wins,Independent,"409,694",52.40%,95.40%
Maine,Demi Kouzounas,Republican,"268,438",34.30%,95.40%
Maine,David Costello,Democratic,"84,364",10.80%,95.40%
Maine,Jason Cherry,Independent,"20,067",2.60%,95.40%
Maryland,Angela Alsobrooks wins,Democratic,"1,438,753",53.20%,89%
Maryland,Larry Hogan,Republican,"1,201,369",44.40%,89%
Maryland,Mike Scott,Libertarian,"63,561",2.40%,89%
Maryland,Write-ins,Write - In,0,0.00%,89%
Massachusetts,Elizabeth Warren wins,Democratic,"1,583,429",59.50%,75%
Massachusetts,John Deaton,Republican,"1,071,313",40.30%,75%
Massachusetts,Write-ins,Write - In,"6,565",0.20%,75%
Michigan,Elissa Slotkin wins,Democratic,"2,707,571",48.60%,97.70%
Michigan,Mike Rogers,Republican,"2,686,335",48.30%,97.70%
Michigan,Joseph Solis-Mullen,Libertarian,"56,729",1.00%,97.70%
Michigan,Douglas Marsh,Green,"54,965",1.00%,97.70%
Michigan,Dave Stein,U.S. Taxpayers Party,"41,432",0.70%,97.70%
Michigan,Doug Dern,Natural Law Party,"18,835",0.30%,97.70%
Michigan,Write-ins,Write - In,862,0.00%,97.70%
